rank,strategy,thinking,group_summary,max_branch,decision_cap,model,mean_s,mean_steps,mean_calls,chat_time_s,embed_time_s,ok_rate,total_s
1,cluster,True,heuristic,8,256,gpt-oss:120b,67.1,20.7,21.7,190.5,10.7,1.0,201.3
2,none,True,n/a,n/a,256,gpt-oss:120b,68.59,18.7,19.7,205.7,0.0,1.0,205.8
3,cluster,False,heuristic,8,256,gpt-oss:120b,70.05,20.7,21.7,200.1,9.9,1.0,210.2
4,chunk,True,heuristic,8,256,gpt-oss:120b,88.19,31.0,32.0,264.5,0.0,1.0,264.6
5,chunk,False,heuristic,8,256,gpt-oss:120b,88.63,31.0,32.0,265.8,0.0,1.0,265.9
6,none,False,n/a,n/a,256,gpt-oss:120b,93.13,25.3,26.3,279.3,0.0,1.0,279.4
7,cluster,False,heuristic,5,256,gpt-oss:120b,99.69,31.7,32.7,288.7,10.2,1.0,299.1
8,chunk,False,heuristic,12,256,gpt-oss:120b,100.89,31.0,32.0,302.6,0.0,1.0,302.7
9,chunk,True,heuristic,12,256,gpt-oss:120b,101.31,31.0,32.0,303.8,0.0,1.0,303.9
10,cluster,True,heuristic,12,256,gpt-oss:120b,103.25,29.3,30.3,297.5,12.2,1.0,309.8
11,cluster,False,heuristic,12,256,gpt-oss:120b,110.21,30.0,31.0,317.4,13.0,1.0,330.7
12,chunk,False,heuristic,5,256,gpt-oss:120b,111.37,40.0,41.0,334.0,0.0,1.0,334.1
13,chunk,True,heuristic,5,256,gpt-oss:120b,111.41,40.0,41.0,334.2,0.0,1.0,334.2
14,cluster,True,heuristic,5,256,gpt-oss:120b,115.14,37.0,38.0,333.1,12.2,1.0,345.4
15,chunk,False,llm,5,256,gpt-oss:120b,128.2,18.0,39.7,384.6,0.0,1.0,384.6
16,chunk,True,llm,5,256,gpt-oss:120b,128.39,18.0,39.7,385.1,0.0,1.0,385.2
17,cluster,True,llm,5,256,gpt-oss:120b,155.9,23.3,44.0,453.7,13.9,1.0,467.7
18,cluster,False,llm,5,256,gpt-oss:120b,160.85,25.0,47.7,468.8,13.7,1.0,482.6
19,cluster,True,llm,8,256,gpt-oss:120b,164.26,29.7,48.7,478.5,14.1,1.0,492.8
20,cluster,False,llm,8,256,gpt-oss:120b,164.87,29.7,48.7,480.1,14.3,1.0,494.6
21,cluster,True,llm,12,256,gpt-oss:120b,185.68,37.0,54.3,541.8,15.1,1.0,557.0
22,chunk,True,llm,8,256,gpt-oss:120b,187.25,19.7,56.7,561.6,0.0,1.0,561.8
23,cluster,False,llm,12,256,gpt-oss:120b,187.51,37.0,54.3,547.3,15.0,1.0,562.5
24,chunk,False,llm,8,256,gpt-oss:120b,187.66,19.7,56.7,562.9,0.0,1.0,563.0
25,chunk,True,llm,12,256,gpt-oss:120b,194.58,28.3,55.7,583.6,0.0,1.0,583.7
26,chunk,False,llm,12,256,gpt-oss:120b,195.04,28.3,55.7,585.0,0.0,1.0,585.1
